Company Name,Rest of the Details
2929 PRODUCTIONS,"['Production company and distributor', '11601 Wilshire Blvd, Ste 210, Los Angeles, CA 90025', '310-309-5700 (phone)', '310-309-5711 (fax)', '2929entertainment.com imdb.com/company/co0005596', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, drama, family, horror, reality, romance, science fiction, thriller, and documentary.', 'Established in 2003.', 'Shay Weiner', 'Director of Development 310-309-5200', ' imdb.com/name/nm1674317', 'Todd Wagner', 'Principal', '310-309-5200', ' imdb.com/company/co0005596 linkedin.com/pub/todd-wagner/52/977/ba4']"
2DS PRODUCTIONS,"['Production company', '232 E Ohio St, Penthouse Suite, Chicago, IL 60611 312-664-9333', ' imdb.com/company/co0226108', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films. Established in 2008.']"
2ND FIDDLE ENTERTAINMENT,"['Production company', '2601 Long Ln, Flower Mound, TX 75022 972-965-7391', 'imdb.com/company/co0271697 facebook.com/MaggiesPassage', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include drama, fantasy, and thriller. Established in 2009.']"
2ND LIFE FILM PRODUCTION,"['Production company, distributor, and sales agent', '10741 NW 45th St Ste 12, Coral Springs, FL 33065 954-401-4220', ' imdb.com/company/co0209728', 'Does not accept any unsolicited material. Project types include feature films. Genres include crime, drama, and horror. Established in 2007.']"
2S FILMS,"['Production company', '10390 Santa Monica Blvd Ste 210, Los Angeles, CA 90025', '310-789-5450 (phone)', '310-789-3060 (fax)', ' 2sfilms.whoiskenjackson.com imdb.com/company/co0238996', 'Does not accept any unsolicited material. Project types include feature films. Genres include comedy, drama, and romance. Established in 2011.', '\nMolly Smith', 'Principal', '310-789-5450', ' imdb.com/company/co0238996', 'Jon Schumacher Development Executive imdb.com/name/nm2749499', 'Allison Rayne', 'Vice President of Development 310-789-5450', ' imdb.com/name/nm2588349 linkedin.com/pub/allison-rayne/5/56/9a8']"
2THESKY ENTERTAINMENT,"['Production company and distributor', '1606 Willowview St, Longview, TX 75604', '903-736-8311', ' 2theskyentertainment.com imdb.com/company/co0480013 facebook.com/pages/Emmas-Song/', '1460496420871726', 'twitter.com/2theSky2', 'Does not accept any unsolicited material. Project types include feature films, short films, and TV. Genres include action, drama, period, and documentary.', 'Established in 2014.']"
2WAYTRAFFIC - A SONY PICTURES ENTERTAINMENT COMPANY,"['Production company and distributor', '32nd Floor Bank of China Tower, 1 Garden Rd, Central, Hong Kong, China', '852 2913 3788 (phone)', '852 2913 3733 (fax)', '64 New Cavendish St, London W1G 8TB, UK 44 20 7908 5000 (phone)', '44 20 7908 5005 (fax)', '1230 Ave of the Americas, 7th Fl, New York, NY 10020', 'Middenweg 1, PO Box 297, Hilversum 1217 HS, The Netherlands', '+31(0)357508000 (phone)', '+31(0)357508020 (fax)', ' 2waytraffic.com imdb.com/company/co0211160 linkedin.com/company/2waytraffic', 'Does not accept any unsolicited material. Project types include TV. Genres include reality. Established in 1998.']"
2X4 PRODUCTIONS,"['Production company Brooklyn, NY', ' 2x4productionsllc.com imdb.com/company/co0280720', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films. Genres include action, crime, drama, and thriller.', 'Established in 2008.']"
3311 PRODUCTIONS,"['Production company and financing company', '6255 Sunset Blvd Ste 1600, Los Angeles, CA 90028', '323-319-5060 (phone)', '323-306-5534 (fax)', ' 3311productions.com imdb.com/company/co0312478 linkedin.com/company/3311-productions-inc', 'Does not accept any unsolicited material. Project types include feature films. Genres include action, comedy, crime, drama, family, fantasy, romance, science fiction, and thriller. Established in 2013.', 'Ross Jacobson', 'CEO', 'imdb.com/name/nm2278951 linkedin.com/pub/ross-jacobson/6/6bb/60a', 'Eddie Vaisman', 'imdb.com/name/nm4224744', '\nMark Roberts', 'Executive imdb.com/name/nm4224736']"
33ANDOUT PRODUCTIONS,"['Production company Los Angeles, CA', ' channingtatumunwrapped.com', 'Does not accept any unsolicited material. Project types include feature films. Genres include action, comedy, crime, drama, family, reality, romance, and thriller.', 'Established in 2011.']"
33 PICTURES,"['Production company', '1523 Constance St, Ste D, New Orleans, LA 70130 10000 Celtic Dr, Ste 702, Baton Rouge, LA 70809', '225-238-3033 (phone)', '225-238-3032 (fax)', ' 33pictures.com imdb.com/company/co0471478', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films. Genres include action, drama, family, and thriller.', 'Established in 2015.', 'Beau Chaney', 'Producer', '225-238-3033', 'imdb.com/name/nm2795646']"
34TH STREET FILMS,"['Production company', '8200 Wilshire Blvd, Ste 300, Beverly Hills, CA 90211', '323-315-7963 (phone)', '323-315-7117 (fax)', 'imdb.com/company/co0248547 facebook.com/34thstreetfilms', 'Does not accept any unsolicited material. Project types include feature films. Genres include action, comedy,', 'drama, family, myth, romance, and thriller. Established in 2010.', 'Poppy Hanks', 'Senior Vice President (Production & Development) 323-315-7963', 'imdb.com/name/nm1585325 linkedin.com/pub/poppy-hanks/6/9b8/4a0', 'Amber Rasberry Director of Development 323-315-7963', 'imdb.com/name/nm2248393 linkedin.com/in/amberrasberry twitter.com/arazz', 'Matt Moore Executive Vice President 323-315-7963', 'imdb.com/name/nm0601597']"
3:59,"['Production company', '5670 Wilshire Blvd, Ste 850, Los Angeles, CA 90036', '424-277-2490', ' 359inc.com', 'imdb.com/company/co0416435', 'Does not accept any unsolicited material. Project types include feature films. Genres include comedy and documentary. Established in 2014.', 'Joe Manganiello', 'President', '424-277-2490', 'imdb.com/name/nm0542133']"
369 PRODUCTIONS,"['Production company', '10 Orange St, London WC2H 7DQ, UK', '+44 7540 653 783', ' imdb.com/company/co0367023', 'Does not accept any unsolicited material. Project types include feature films. Genres include animation, comedy, and romance. Established in 2013.', '\nVictor Glynn', 'Producer imdb.com/name/nm0323376']"
"3 ALLIANCE ENTERPRISES, INC","['Distributor', '703 Pier Ave, Ste 627 Hermosa Beach, CA 90254', '323-756-0940 (phone)', '323-756-2435 (fax)', ' alliance.com imdb.com/company/co0140135', 'linkedin.com/company/3-alliance-enterprises-inc. facebook.com/3Alliance', 'Does not accept any unsolicited material. Project types include TV. Genres include comedy, family, and documentary. Established in 2001.']"
3 ARTS ENTERTAINMENT,"['Production company', '16 W 22nd St, Ste 201, New York, NY 10010 212-213-4245', '9460 Wilshire Blvd 7th Floor, Beverly Hills, CA 90212', '310-888-3200 (phone)', '310-888-3210 (fax)', '3arts.com imdb.com/company/co0070636', 'linkedin.com/company/3-arts-entertainment', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, drama, family, romance, thriller, and documentary. Established in 1993.', 'Erwin Stoff Partner (Chairman) 310-888-3200', ' imdb.com/name/nm0831098 linkedin.com/pub/erwin-stoff/41/70a/a1b', 'Howard Klein', 'Partner', '310-888-3200', ' imdb.com/name/nm2232433']"
3 ARTS ENTERTAINMENT,"['Production company', '27 W 24th St, Ste 301, New York, NY 10010 212-213-4245', '9460 Wilshire Blvd 7th Fl, Beverly Hills, CA 90212 310-888-3200 (phone)', '310-888-3210 (fax)', '3arts.com imdb.com/company/co0070636', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, drama, family, fantasy, romance, thriller, and documentary. Established in 1993.']"
3 BALL ENTERTAINMENT,"['Production company and distributor', '3650 Redondo Beach Ave, Redondo Beach, CA 90278 424-236-7500 (phone)', '424-236-7501 (fax)', ' 3ballentertainment.com imdb.com/company/co0100000 linkedin.com/company/3-ball-productions facebook.com/3BallEntertainment', 'Does not accept any unsolicited material. Project types include TV. Genres include comedy, drama, reality, romance, and documentary. Established in 1993.', 'Brant Pinvidic Chief Creative Officer 424-236-7500', 'imdb.com/name/nm1803480', 'J.D. Roth', 'Co-Founder and Non-Executive Board Member 424-236-7500', 'imdb.com/name/nm0744870', '\n3 BALL PRODUCTIONS', 'Production company and distributor', '3650 Redondo Beach Ave, Redondo Beach, CA 90278 424-236-7500 (phone)', '424-236-7501 (fax)', '3ballentertainment.com imdb.com/company/co0100000', 'Does not accept any unsolicited material. Project types include TV. Genres include non-fiction and reality.', 'Established in 1993.']"
3GZ PRODUCTIONS,"['Production company and distributor', '2000 N Bayshore Dr, #314, Miami, FL 33137', '305-917-5257', ' 3gzproductions.com imdb.com/company/co0181238 facebook.com/3gzproductions', 'Does not accept any unsolicited material. Project types include feature films and short films. Genres include drama and documentary. Established in 2005.']"
408 FILMS,"['Production company and financing company', '20111 Stevens Creek Blvd, Ste 160, Cupertino, CA, 95014', '408-516-9676', '5/F Two Exchange Square 8 Connaught Place, Central Hong Kong', '011-852-30172046', ' 408films.com imdb.com/company/co0236057', 'Does not accept any unsolicited material. Project types include TV. Genres include drama, family, and thriller.']"
"40 ACRES & A MULE FILMWORKS, INC.","['Production company', '75 S Elliot Place, Brooklyn, NY 11217 718-624-3703 (phone)', '718-624-2008 (fax)', '40acres.com imdb.com/company/co0029134 facebook.com/40AcresAndAMuleFilmworks', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, drama, and non-fiction. Established in 1983.', 'Spike Lee Chairman 718-624-3703', 'imdb.com/name/nm0000490 facebook.com/SpikeLee twitter.com/SpikeLee']"
44 BLUE PRODUCTIONS,"['Production company', '4040 Vineland Ave Ste 105, Studio City, CA 91604', '818-760-4442 (phone)', '818-760-1509 (fax)', ' 44blue.com imdb.com/company/co0012712', 'Does not accept any unsolicited material. Project types include feature films, short films, and TV. Genres include action, comedy, crime, drama, family, fantasy, horror, myth, reality, romance, science fiction, thriller, and documentary. Established in 1985.']"
"44 BLUE PRODUCTIONS, INC.","['Production company', '4040 Vineland Ave, Ste 105, Studio City, CA 11217', '818-760-4442 (phone)', '818-760-1509 (fax)', ' 44blue.com imdb.com/company/co0012712', 'linkedin.com/company/44-blue-productions facebook.com/44blueproductions twitter.com/44blue', 'Does not accept any unsolicited material. Project types include feature films, short films, and TV. Genres', '\ninclude action, comedy, drama, non-fiction, reality, and documentary. Established in 1985.', 'Stephanie Drachkovitch Executive Vice-President 818-760-4442', ' imdb.com/name/nm1729517', 'linkedin.com/pub/stephanie-drachkovitch/47/218/113', 'Rasha Drachkovitch', 'President', '818-760-4442', ' imdb.com/name/nm0236624 linkedin.com/pub/rasha-drachkovitch/8/735/598 facebook.com/rasha.drachkovitch']"
48 HOUR FILM FESTIVAL,"['Distributor', 'PO Box 40008, Washington, DC 20016', ' imdb.com/company/co0167544 facebook.com/48hourfilmproject twitter.com/48HourFilmProj', 'Does not accept any unsolicited material. Project types include feature films and short films. Genres include action, comedy, crime, drama, family, romance, and thriller. Established in 2004.']"
495 PRODUCTIONS,"['Production company', '4222 Burbank Blvd, 2nd Floor, Burbank, CA 91505 818-840-2750 (phone)', '818-840-7083 (fax)', ' 495productions.com imdb.com/company/co0192481 facebook.com/495Productions twitter.com/495Prods', 'Does not accept any unsolicited material. Project types include TV. Genres include comedy, drama, non- fiction, and reality. Established in 2006.', 'James Bianco', 'Head (Production) imdb.com/name/nm1291179', 'SallyAnn Salsano', 'President', '818-840-2750', ' imdb.com/name/nm1133163 linkedin.com/pub/sallyann-salsano/38/2a2/3b5 twitter.com/sallyannsalsano']"
4KIDS ENTERTAINMENT,"['Distributor', '1414 6th Ave, New York, NY 10019 212-758-7666', ' kidsentertainment.com imdb.com/company/co0052177', 'Does not accept any unsolicited material. Project types include feature films. Genres include action, animation, comedy, crime, drama, family, fantasy, romance, and thriller. Established in 1996.']"
4TH ROW FILMS,"['Production company and distributor', '27 W 20th St, Ste1006, New York, NY 10011 212-974-0082 (phone)', '212-627-3090 (fax)', ' 4throwfilms.com imdb.com/company/co0117932 linkedin.com/company/4th-row-films facebook.com/4thRowFilmsNYC twitter.com/4thRowFilms', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include comedy, crime, drama, fantasy, non-fiction, reality, romance, and thriller. Established in 2005.', 'Douglas Tirola', 'President imdb.com/name/nm0864263', 'linkedin.com/pub/douglas-tirola/4/427/856 facebook.com/douglas.tirola', '\nSusan Bedusa', 'Senior Vice President, Production & Development imdb.com/name/nm1513256 linkedin.com/pub/susan-bedusa/5/578/aa0']"
4 VISIONS,"['Production company', '5403 Galahad Ln, Richardson, TX 75082', '214-563-1506', ' imdb.com/company/co0221847', 'Does not accept any unsolicited material. Project types include feature films. Genres include comedy and romance. Established in 2009.']"
501 POST,"['Production company', '501 N I-35, Austin, TX 78702', '501studios.com imdb.com/company/co0147102 linkedin.com/company/501-post', 'Does not accept any unsolicited material. Project types include feature films and short films. Genres include action, animation, comedy, crime, drama, horror, romance, thriller, and documentary. Established in 2005.']"
50 DEGREES NORTH PRODUCTIONS,"['Production company', 'Suite 400, 375 Water St, Vancouver, BC V6B 5C6, Canada', 'Suite 400, 14724 Ventura Blvd, Sherman Oaks, CA 91403', '310-461-3060', ' 50degrees.com imdb.com/company/co0595392', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include TV. Established in 2016.']"
50 EGGS FILMS,"['Production company', '231 Forest St, Woodland Hill, Bldg 4, Babson Park, MA 02457-0310', '781-239-7000', ' 50eggs.com', 'imdb.com/company/co0044798', 'Accepts query letters from unproduced, unrepresented writers via email. Project types include feature films. Genres include documentary. Established in 1999.']"
51 MINDS ENTERTAINMENT,"['Production company and distributor', '6565 W Sunset Blvd ste 301, Los Angeles, CA 90028 818-643-8200 (phone)', '323-466-9202 (fax)', ' 51minds.com imdb.com/company/co0166565', 'linkedin.com/company/51-minds-entertainment facebook.com/51Minds', 'twitter.com/51Minds', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, drama, reality, and romance.', 'Established in 2003.', 'Cris Abrego Co-President 323-466-9200', ' imdb.com/name/nm0009312', 'David Caplan', 'Vice President (Development) 323-466-9200', ' imdb.com/name/nm4933376', 'Mark Cronin Co-President 323-466-9200', ' imdb.com/name/nm0188782']"
57TH & IRVING PRODUCTIONS,"['Production company', '\n17 State St, 26th Floor, New York, NY 10004 646-775-9080', ' 57irving.com imdb.com/company/co0155715', 'Does not accept any unsolicited material. Genres include comedy, drama, family, horror, and romance. Established in 2007.']"
59TH STREET FILMS,"['Production company', '101 Destiny Dr, Lafayette, LA 70506', '337-280-9370', ' 59thstreetfilms.com imdb.com/company/co0285087 linkedin.com/company/59th-street-films facebook.com/59thStreetFilms twitter.com/59thstreetfilms', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, drama, and romance. Established in 2012.', 'Steve Sirkis imdb.com/name/nm2401659 linkedin.com/pub/dir/nicholas/scott', 'Nicholas Scott', 'imdb.com/name/nm4641966', 'Alfred Rubin Thompson Producer imdb.com/name/nm0867022', 'Jennifer Jarrett', 'Producer imdb.com/name/nm1838264', 'Sarah Agor', 'Producer imdb.com/name/nm2706070 linkedin.com/pub/sarah-agor/7/36/216']"
5IVE SMOOTH STONES PRODUCTIONS,"['Production company', '106 Oakland Hills Court, Duluth, GA 30097 imdb.com/company/co0332052', 'Does not accept any unsolicited material. Project types include feature films. Genres include comedy, family, romance, and documentary. Established in 2011.', 'Terry Crews', 'Actor/CEO imdb.com/name/nm0187719 facebook.com/realterrycrews twitter.com/terrycrews']"
5 NEN D GUMI,"['Production company', '1-6-1-1F, Shoto, Shibuya, Tokyo 150-0046, Japan 03-5790-5577 (phone)', '03-5790-5595 (fax)', ' 5-d.co.jp', 'imdb.com/company/co0321455', 'Does not accept any unsolicited material. Project types include feature films and TV. Genres include action, comedy, crime, drama, romance, and thriller.', 'Established in 1999.', 'Shûichi Nakayama Producer imdb.com/name/nm3357390']"
5TH QUARTER PRODUCTIONS,"['Production company and distributor', '70 Perimeter Ctr E, Atlanta, GA 30346 404-789-7634', ' directorapar.com imdb.com/company/co0449332', 'Does not accept any unsolicited material. Project types include feature films and short films. Genres include crime, drama, and thriller. Established in 2013.']"
6 DEGREE MEDIA,"['Production company', '37 Berwick St, London W1F 8RS, UK', '+44 0207-734-6194', ' imdb.com/company/co0282374', '\nDoes not accept any unsolicited material. Project types include TV. Genres include comedy, drama, and thriller. Established in 2010.', 'Alan Greenspan', 'Producer imdb.com/name/nm0339171']"
70/30 PRODUCTIONS,"['Production company', '81 Wakefield Dr NE, Atlanta, GA 30309 404-352-4724', 'imdb.com/company/co0025188', 'Does not accept any unsolicited material. Project types include short films and TV. Genres include action, animation, comedy, romance, and science fiction.', 'Established in 2000.']"
72ND STREET PRODUCTIONS,"['Production company', '1041 N Formosa Ave, Formosa Building, Ste 3, West Hollywood, CA 90046', '323-850-3139  (phone)', '323-850-3179 (fax)', ' imdb.com/company/co0180596', 'Does not accept any unsolicited material. Project types include feature films, short films, and commercials.', 'Genres include comedy, drama, and science fiction. Established in 2006.', 'Steven Krieger', 'Principal', '323-850-3139', ' imdb.com/name/nm2544844', 'Lee Toland Krieger', 'Principal', '323-850-3139', ' imdb.com/name/nm1767218', 'Tim Harms', 'Principal', '323-850-3139', ' imdb.com/name/nm0363608']"
72 PRODUCTIONS,"['Production company', '8899 Beverly Blvd, Ste 716, West Hollywood, CA 90048', '310-278-1221 (phone)', '310-278-1224 (fax)', '72productions.com imdb.com/company/co0196483', 'Does not accept any unsolicited material. Project types include feature films. Genres include comedy, drama, thriller, and documentary. Established in 2013.', 'Sebastian Dungan', 'Principal', '310-278-1221', 'imdb.com/name/nm0242253 facebook.com/sebastian.dungan', 'Jennifer Chaiken', 'Principal', '310-278-1221', 'imdb.com/name/nm0149671 linkedin.com/pub/jen-chaiken/37/779/945']"
